racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Representative in Congress District 22,A001,Nicolas Kimaz (REP),-,-,-,-,"1,440",55.17%
Representative in Congress District 22,A001,Ted Deutch (DEM),-,-,-,-,"1,170",44.83%
Representative in Congress District 22,A002,Nicolas Kimaz (REP),-,-,-,-,290,39.89%
Representative in Congress District 22,A002,Ted Deutch (DEM),-,-,-,-,437,60.11%
Representative in Congress District 22,A003,Nicolas Kimaz (REP),203,121,101,0,425,40.51%
Representative in Congress District 22,A003,Ted Deutch (DEM),-,-,-,-,624,59.49%
Representative in Congress District 22,A004,Nicolas Kimaz (REP),187,62,72,0,321,39.43%
Representative in Congress District 22,A004,Ted Deutch (DEM),-,-,-,-,493,60.57%
Representative in Congress District 22,A005,Nicolas Kimaz (REP),248,106,145,0,499,52.42%
Representative in Congress District 22,A005,Ted Deutch (DEM),177,129,147,0,453,47.58%
Representative in Congress District 22,A006,Nicolas Kimaz (REP),-,-,-,-,312,28.06%
Representative in Congress District 22,A006,Ted Deutch (DEM),-,-,-,-,800,71.94%
Representative in Congress District 22,A007,Nicolas Kimaz (REP),177,121,148,0,446,44.20%
Representative in Congress District 22,A007,Ted Deutch (DEM),203,132,228,0,563,55.80%
Representative in Congress District 22,A008,Nicolas Kimaz (REP),-,-,-,-,39,12.79%
Representative in Congress District 22,A008,Ted Deutch (DEM),-,-,-,-,266,87.21%
Representative in Congress District 22,A009,Nicolas Kimaz (REP),-,-,-,-,706,40.37%
Representative in Congress District 22,A009,Ted Deutch (DEM),-,-,-,-,"1,043",59.63%
Representative in Congress District 22,A010,Nicolas Kimaz (REP),154,70,101,0,325,50.62%
Representative in Congress District 22,A010,Ted Deutch (DEM),122,70,125,0,317,49.38%
Representative in Congress District 22,A011,Nicolas Kimaz (REP),-,-,-,-,32,2.91%
Representative in Congress District 22,A011,Ted Deutch (DEM),-,-,-,-,"1,069",97.09%
Representative in Congress District 22,A012,Nicolas Kimaz (REP),-,-,-,-,414,37.06%
