racename,precinctname,Choice,Election Day,"Vote
By
Mail",Early Votes,Provisional,Total Votes,Percentage
Representative in Congress District 23,M001,"Joseph ""Joe"" Kaufman (REP)",161,87,175,0,423,32.46%
Representative in Congress District 23,M001,Debbie Wasserman Schultz (DEM),-,-,-,-,781,59.94%
Representative in Congress District 23,M001,Don Endriss (NPA),-,-,-,-,11,0.84%
Representative in Congress District 23,M001,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,88,6.75%
Representative in Congress District 23,M003,"Joseph ""Joe"" Kaufman (REP)",0,0,0,0,0,0.00%
Representative in Congress District 23,M003,Debbie Wasserman Schultz (DEM),-,-,-,-,1,100.00%
Representative in Congress District 23,M003,Don Endriss (NPA),0,0,0,0,0,0.00%
Representative in Congress District 23,M003,"Timothy A. ""Tim"" Canova (NPA)",0,0,0,0,0,0.00%
Representative in Congress District 23,M006,"Joseph ""Joe"" Kaufman (REP)",56,29,58,0,143,23.71%
Representative in Congress District 23,M006,Debbie Wasserman Schultz (DEM),-,-,-,-,433,71.81%
Representative in Congress District 23,M006,Don Endriss (NPA),-,-,-,-,1,0.17%
Representative in Congress District 23,M006,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,26,4.31%
Representative in Congress District 23,M008,"Joseph ""Joe"" Kaufman (REP)",-,-,-,-,34,32.69%
Representative in Congress District 23,M008,Debbie Wasserman Schultz (DEM),-,-,-,-,63,60.58%
Representative in Congress District 23,M008,Don Endriss (NPA),-,-,-,-,4,3.85%
Representative in Congress District 23,M008,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,3,2.88%
Representative in Congress District 23,M010,"Joseph ""Joe"" Kaufman (REP)",53,31,53,0,137,23.18%
Representative in Congress District 23,M010,Debbie Wasserman Schultz (DEM),149,146,139,0,434,73.43%
Representative in Congress District 23,M010,Don Endriss (NPA),-,-,-,-,4,0.68%
Representative in Congress District 23,M010,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,16,2.71%
Representative in Congress District 23,M011,"Joseph ""Joe"" Kaufman (REP)",58,35,57,0,150,23.55%
Representative in Congress District 23,M011,Debbie Wasserman Schultz (DEM),138,112,213,0,463,72.68%
Representative in Congress District 23,M011,Don Endriss (NPA),-,-,-,-,2,0.31%
Representative in Congress District 23,M011,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,22,3.45%
Representative in Congress District 23,M012,"Joseph ""Joe"" Kaufman (REP)",150,122,218,0,490,33.68%
Representative in Congress District 23,M012,Debbie Wasserman Schultz (DEM),-,-,-,-,897,61.65%
Representative in Congress District 23,M012,Don Endriss (NPA),-,-,-,-,12,0.82%
Representative in Congress District 23,M012,"Timothy A. ""Tim"" Canova (NPA)",20,13,23,0,56,3.85%
Representative in Congress District 23,M014,"Joseph ""Joe"" Kaufman (REP)",-,-,-,-,444,32.82%
Representative in Congress District 23,M014,Debbie Wasserman Schultz (DEM),-,-,-,-,828,61.20%
Representative in Congress District 23,M014,Don Endriss (NPA),-,-,-,-,5,0.37%
Representative in Congress District 23,M014,"Timothy A. ""Tim"" Canova (NPA)",21,13,42,0,76,5.62%
Representative in Congress District 23,M016,"Joseph ""Joe"" Kaufman (REP)",38,24,32,0,94,25.54%
Representative in Congress District 23,M016,Debbie Wasserman Schultz (DEM),-,-,-,-,262,71.20%
Representative in Congress District 23,M016,Don Endriss (NPA),-,-,-,-,4,1.09%
Representative in Congress District 23,M016,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,8,2.17%
Representative in Congress District 23,M017,"Joseph ""Joe"" Kaufman (REP)",64,33,64,0,161,27.20%
Representative in Congress District 23,M017,Debbie Wasserman Schultz (DEM),-,-,-,-,413,69.76%
Representative in Congress District 23,M017,Don Endriss (NPA),-,-,-,-,3,0.51%
Representative in Congress District 23,M017,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,15,2.53%
Representative in Congress District 23,M018,"Joseph ""Joe"" Kaufman (REP)",56,31,54,0,141,24.23%
Representative in Congress District 23,M018,Debbie Wasserman Schultz (DEM),104,106,203,0,413,70.96%
Representative in Congress District 23,M018,Don Endriss (NPA),-,-,-,-,8,1.37%
Representative in Congress District 23,M018,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,20,3.44%
Representative in Congress District 23,M019,"Joseph ""Joe"" Kaufman (REP)",70,50,101,0,221,27.80%
Representative in Congress District 23,M019,Debbie Wasserman Schultz (DEM),139,128,271,0,538,67.67%
Representative in Congress District 23,M019,Don Endriss (NPA),-,-,-,-,5,0.63%
Representative in Congress District 23,M019,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,31,3.90%
Representative in Congress District 23,M020,"Joseph ""Joe"" Kaufman (REP)",86,65,141,0,292,18.28%
Representative in Congress District 23,M020,Debbie Wasserman Schultz (DEM),-,-,-,-,"1,211",75.83%
Representative in Congress District 23,M020,Don Endriss (NPA),-,-,-,-,15,0.94%
Representative in Congress District 23,M020,"Timothy A. ""Tim"" Canova (NPA)",21,14,44,0,79,4.95%
Representative in Congress District 23,M021,"Joseph ""Joe"" Kaufman (REP)",-,-,-,-,182,24.59%
Representative in Congress District 23,M021,Debbie Wasserman Schultz (DEM),-,-,-,-,517,69.86%
Representative in Congress District 23,M021,Don Endriss (NPA),-,-,-,-,5,0.68%
Representative in Congress District 23,M021,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,36,4.86%
Representative in Congress District 23,M022,"Joseph ""Joe"" Kaufman (REP)",-,-,-,-,469,31.27%
Representative in Congress District 23,M022,Debbie Wasserman Schultz (DEM),-,-,-,-,972,64.80%
Representative in Congress District 23,M022,Don Endriss (NPA),-,-,-,-,6,0.40%
Representative in Congress District 23,M022,"Timothy A. ""Tim"" Canova (NPA)",15,11,27,0,53,3.53%
Representative in Congress District 23,M023,"Joseph ""Joe"" Kaufman (REP)",93,147,155,0,395,26.85%
Representative in Congress District 23,M023,Debbie Wasserman Schultz (DEM),-,-,-,-,"1,030",70.02%
Representative in Congress District 23,M023,Don Endriss (NPA),-,-,-,-,5,0.34%
Representative in Congress District 23,M023,"Timothy A. ""Tim"" Canova (NPA)",-,-,-,-,41,2.79%
Representative in Congress District 23,M024,"Joseph ""Joe"" Kaufman (REP)",0,0,0,0,0,0.00%
Representative in Congress District 23,M024,Debbie Wasserman Schultz (DEM),0,0,0,0,0,0.00%
